primary_accession,lineage,assembler,assembler_version,wall_clock_seconds,peak_mem_in_gbs,n50,l50,num_contigs,assembly_length,largest_contig,srr_id
ERZ10621188,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,149922,34,6077,7971,115126,286080130,492841,ERR2855823
ERZ10620882,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,301321,43,3961,12859,169544,346150883,483562,ERR2855824
ERZ10621159,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,142547,21,2088,9901,96122,143878900,385280,ERR2855825
ERZ10621090,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,165007,33,2104,15360,136138,205985243,435995,ERR2855826
ERZ10621189,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,200152,38,7068,7046,145894,350021530,852860,ERR2855827
ERZ10620857,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,158344,21,6945,4638,82665,212163736,669342,ERR2855828
ERZ10620859,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,153249,33,6988,5308,100313,235059211,678474,ERR2855829
ERZ10620974,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,120176,20,4198,6417,83040,173863549,541743,ERR2855830
ERZ10620991,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,153602,20,1879,7204,64852,94565697,384079,ERR2855831
ERZ10621061,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,96727,20,17496,698,31140,89743910,649476,ERR2855832
ERZ10621073,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,147529,20,5687,2528,48409,107602240,591789,ERR2855833
ERZ10620844,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,167503,20,7357,2352,69619,150580721,316690,ERR2855834
ERZ10620861,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,447019,48,5511,9509,144480,327879930,436198,ERR2855835
ERZ10621029,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,172176,21,5187,3966,81082,166596662,493786,ERR2855836
ERZ10620901,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,163158,31,6402,4888,88257,212645571,686342,ERR2855837
ERZ10620977,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,102432,22,6114,5548,93690,216412053,345607,ERR2855838
ERZ10620942,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,213205,39,6639,7781,134826,325102251,586299,ERR2855839
ERZ10620995,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,195857,20,12595,1661,52314,142658047,655480,ERR2855840
ERZ10621179,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,161677,20,6502,2689,63022,143139771,707575,ERR2855841
ERZ10620939,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,173387,22,2615,10769,106500,179159713,408674,ERR2855842
ERZ10621066,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,353438,94,4308,5385,85261,167153465,340937,ERR2855843
ERZ10620925,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,184905,34,14883,2394,79801,229810073,560064,ERR2855844
ERZ10621112,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,143378,34,7467,5532,118876,277536747,679511,ERR2855845
ERZ10621038,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,181024,21,3705,6733,82944,160832455,451656,ERR2855846
ERZ10620961,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,189400,21,6795,3924,75574,168161148,262917,ERR2855847
ERZ10621177,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,464998,51,4682,6454,102352,222486923,713510,ERR2855848
ERZ10621121,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,219357,20,5690,3116,61382,136414879,536103,ERR2855849
ERZ10621093,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,128938,20,5355,2231,52938,118839271,715737,ERR2855850
ERZ10620907,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,317220,48,23289,861,31139,109043089,459447,ERR2855851
ERZ10621028,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,191330,21,5532,4429,90405,201306269,482356,ERR2855852
ERZ10621031,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,199189,21,7371,3299,67927,169446223,401764,ERR2855853
ERZ10621127,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,150103,20,12270,2123,63112,163614314,974568,ERR2855854
ERZ10621049,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,189873,35,8529,5065,119150,290666871,570236,ERR2855855
ERZ10621084,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,254562,32,7061,4542,92742,220202478,665187,ERR2855856
ERZ10620938,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,188511,20,3352,1377,38133,63090369,671385,ERR2855857
ERZ10621152,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,239846,33,3826,8988,112427,218708923,355618,ERR2855858
ERZ10621017,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,309541,47,5364,5552,91874,198805473,337809,ERR2855859
ERZ10620963,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,170681,39,6611,7806,146374,346928415,394554,ERR2855860
ERZ10621153,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,150832,32,7403,3921,91788,214478181,738484,ERR2855861
ERZ10620926,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,139853,33,10663,3680,104553,266339925,590263,ERR2855862
ERZ10621128,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,202123,41,2648,19862,210179,352537954,560097,ERR2855863
ERZ10621042,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,153177,20,2340,5892,68663,105765461,397113,ERR2855864
ERZ10620968,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,151929,22,6688,4718,81080,201266217,410193,ERR2855865
ERZ10620967,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,177448,36,5646,8329,144131,321551910,694097,ERR2855866
ERZ10620919,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,123467,20,5487,3521,60879,128356096,364002,ERR2855867
ERZ10620965,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,157912,20,14027,1612,42310,132086490,399858,ERR2855868
ERZ10621099,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,124858,20,9464,2291,62935,153837074,658163,ERR2855869
ERZ10621035,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,239441,32,7472,3585,89955,205718973,588076,ERR2855870
ERZ10621098,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,131060,20,9241,2803,63109,155101020,430211,ERR2855871
ERZ10620979,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,139451,32,9865,3998,86171,244426407,440175,ERR2855872
ERZ10620887,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,126788,35,8316,5404,125759,302085386,474288,ERR2855873
ERZ10620989,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,110439,20,3427,6897,76071,143182092,406224,ERR2855874
ERZ10621026,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,208327,21,5729,3290,73253,165428145,652187,ERR2855875
ERZ10621030,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,133471,22,6917,4147,94441,223680173,743411,ERR2855876
ERZ10620985,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,183559,42,4286,12520,197903,394178026,559882,ERR2855877
ERZ10620849,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,132938,21,9513,3454,86669,226531451,363979,ERR2855878
ERZ10620920,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,256043,65,3640,19936,247983,484836006,687824,ERR2855879
ERZ10621064,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,181922,20,10178,1205,49526,115052070,461562,ERR2855880
ERZ10620999,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,133378,22,5417,5371,96908,208085257,622666,ERR2855881
ERZ10620941,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,189853,32,3817,8655,109019,210261360,362835,ERR2855882
ERZ10620935,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,165124,25,12287,2376,81882,198989773,520050,ERR2855883
ERZ10620886,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,158445,17,2759,5325,60862,101554738,328996,ERR2855884
ERZ10620984,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,213109,41,5397,9653,164749,367100359,546269,ERR2855885
ERZ10621086,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,157499,36,3153,12389,151096,271816649,918872,ERR2855886
ERZ10620906,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,153127,22,4466,6707,100413,208518378,374996,ERR2855887
ERZ10620982,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,155435,33,15214,2746,86089,249726406,416081,ERR2855888
ERZ10621173,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,156005,18,8725,2227,58277,140032748,482248,ERR2855889
ERZ10621110,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,163975,21,3854,4584,81027,154113267,650029,ERR2855890
ERZ10620940,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,229206,23,8855,2617,80058,193918400,495649,ERR2855891
ERZ10621190,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,262505,41,7112,9568,148224,359431856,241915,ERR2855892
ERZ10621113,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,142481,20,2080,8145,76612,116972747,934436,ERR2855893
ERZ10621163,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,204791,36,3195,11690,145699,260824757,551318,ERR2855894
ERZ10620975,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,118766,17,3181,3526,34408,63394599,159509,ERR2855895
ERZ10620902,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,205696,43,3697,15906,200636,398984191,562286,ERR2855896
ERZ10621134,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,175586,31,2859,11954,118679,211886740,607586,ERR2855897
ERZ10621032,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,119198,22,8127,4132,81943,219884174,463180,ERR2855898
ERZ10621094,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,282875,33,13255,2212,61357,186386223,643546,ERR2855899
ERZ10621150,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,233397,21,4108,5295,68257,135677396,265161,ERR2855900
ERZ10620846,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,142444,20,2261,9157,80347,125574173,317442,ERR2855901
ERZ10621091,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,410141,42,4551,10450,154053,321627728,606982,ERR2855902
ERZ10620864,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,171972,22,8049,3948,82916,204108973,414091,ERR2855903
ERZ10621122,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,97944,20,3656,4615,60142,114249519,461364,ERR2855904
ERZ10620863,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,237656,43,10375,6137,166895,428832388,902552,ERR2855905
ERZ10620969,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,162448,20,9380,2369,59162,148839620,604956,ERR2855906
ERZ10621006,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,202999,21,12149,2052,65758,173096049,655073,ERR2855907
ERZ10621060,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,144235,20,3073,5210,48670,90618642,241444,ERR2855908
ERZ10620862,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,101508,20,8702,3715,58007,173067141,435401,ERR2855909
ERZ10620923,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,185520,20,7102,1925,52146,116163105,644252,ERR2855910
ERZ10621180,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,166477,20,2943,7702,83553,147261532,269791,ERR2855911
ERZ10621136,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,173316,22,4514,5015,89423,184268734,511295,ERR2855912
ERZ10621162,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,132365,18,8996,2452,53220,146311085,514689,ERR2855913
ERZ10621181,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,188326,36,5091,8324,128673,282528255,519680,ERR2855914
ERZ10620866,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,123282,20,17351,1484,59588,168844252,721815,ERR2855915
ERZ10620978,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,203066,22,11102,2582,71783,191285272,562641,ERR2855916
ERZ10621050,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,154943,33,6179,6486,119102,270853153,431395,ERR2855917
ERZ10620921,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,110618,20,5345,3848,65016,138467602,293381,ERR2855918
ERZ10621062,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,253021,39,3361,12351,161146,298632843,897619,ERR2855919
ERZ10620996,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,198211,36,6589,6683,129190,303677124,516590,ERR2855920
ERZ10621092,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,292669,44,3217,19522,204145,389188469,381274,ERR2855921
ERZ10621027,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,133169,20,8192,2446,50039,122656236,292568,ERR2855922
ERZ10621085,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,208686,41,2849,22096,210128,367540345,417756,ERR2855923
ERZ10621087,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,253019,36,13467,3193,94622,266930054,525677,ERR2855924
ERZ10620976,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,171449,22,7280,3748,82559,199963374,791092,ERR2855925
ERZ10620918,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,190512,37,3692,10463,155485,292006205,366000,ERR2855926
ERZ10620960,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,198821,43,4538,13609,200090,408052557,378518,ERR2855927
ERZ10620992,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,123398,31,10335,3375,84866,224634448,557951,ERR2855928
ERZ10620937,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,197139,32,6188,5099,84244,199679130,386865,ERR2855929
ERZ10621140,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,179043,39,4997,9729,166026,353222831,426544,ERR2855930
ERZ10621089,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,151249,20,7610,2515,65129,152204378,672449,ERR2855931
ERZ10620962,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,136936,24,3311,9883,116937,220112246,515699,ERR2855932
ERZ10620903,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,205390,32,9922,3433,82371,220814691,446225,ERR2855933
ERZ10620970,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,197305,20,3056,5259,68844,117564202,229645,ERR2855934
ERZ10621151,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,121625,21,10622,2203,75153,175544362,1105201,ERR2855935
ERZ10621178,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,169055,21,3987,6449,86409,169508377,296879,ERR2855936
ERZ10620981,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,172024,38,4018,13085,168622,334050007,594987,ERR2855937
ERZ10621088,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,193024,34,5635,6069,110262,246291413,779336,ERR2855938
ERZ10620917,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,158138,17,10394,1492,47327,114909568,848596,ERR2855939
ERZ10620856,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,108206,17,3845,3113,42526,79058858,335034,ERR2855940
ERZ10620946,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,81911,20,2100,4881,47682,72157501,285446,ERR2855941
ERZ10621007,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,121527,20,7677,2871,66786,156227126,434530,ERR2855942
ERZ10620966,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,152165,20,10179,2144,62323,157015006,551460,ERR2855943
ERZ10621059,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,150808,22,8433,3591,80568,216773580,401450,ERR2855944
ERZ10620896,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,109612,20,4320,4336,76645,151622604,366227,ERR2855945
ERZ10620997,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,184049,33,6382,5098,104034,241817027,526705,ERR2855946
ERZ10621133,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,216142,34,9930,3772,106087,271840100,501054,ERR2855947
ERZ10620897,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,230566,22,4528,4609,87032,169575848,414624,ERR2855948
ERZ10620922,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,208412,39,3869,13661,167036,324961658,423250,ERR2855949
ERZ10621083,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,118409,20,10520,2464,72074,178467240,476005,ERR2855950
ERZ10620998,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,188245,23,5620,4247,90818,186945613,455850,ERR2855951
ERZ10620899,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,186419,37,9809,5791,128706,342782590,513710,ERR2855952
ERZ10620840,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,203612,20,7749,2305,59019,136233192,551001,ERR2855953
ERZ10620950,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,187725,20,2779,6322,57656,97538504,138245,ERR2855954
ERZ10621036,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,158715,21,8757,3385,67814,180851450,556755,ERR2855955
ERZ10620983,root:Host-associated:Human:Digestive system:Hindgut:Rectum,metaspades,3.15.3,149573,31,14946,2518,79903,221943196,737468,ERR2855956
ERZ10545953,root:Environmental:Terrestrial:Soil:Oil-contaminated,metaspades,3.15.3,399278,70,2380,26137,229786,363948341,379270,ERR9581642
ERZ10545954,root:Engineered:Solid waste:Composting,metaspades,3.15.3,448669,90,883,72509,283906,266538636,171220,ERR9581643
ERZ11772270,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,50209,17,1638,5327,33999,46304378,191820,SRR6311991
ERZ11772271,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,62524,17,1103,1084,4514,4701812,85666,SRR6312001
ERZ11772269,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,70489,22,1101,8594,35962,38359727,108055,SRR6312008
ERZ13854667,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,17403,7,1068,5422,20272,20727154,21512,SRR12445042
ERZ13854330,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,26475,8,1156,5891,24171,26158757,28500,SRR12445043
ERZ13854620,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,24174,6,753,2494,7108,5528892,11127,SRR12445044
ERZ13854278,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,29674,8,1006,1650,6563,6455269,11491,SRR12445045
ERZ13854433,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,20347,8,1029,10838,41362,41590005,27033,SRR12445046
ERZ13854284,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,23446,7,766,868,2645,2112630,5559,SRR12445047
ERZ13854532,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,36766,8,850,1497,5015,4436761,50259,SRR12445048
ERZ13854553,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,96811,23,898,610,1912,1690088,5887,SRR12445049
ERZ13854818,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,11456,4,1580,1883,10957,14624405,64005,SRR12445050
ERZ13854661,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,141239,31,1058,2328,9875,10446483,52327,SRR12445051
ERZ13854506,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,15161,6,1331,4212,19233,22839835,60274,SRR12445052
ERZ13854283,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,28747,8,755,2204,6397,5037080,19681,SRR12445053
ERZ13854504,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,22061,8,1129,4432,16963,17896148,39364,SRR12445054
ERZ13854335,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,30024,8,971,4456,15154,14278752,32944,SRR12445055
ERZ13854458,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,26651,10,1894,809,5390,7070402,18590,SRR12445056
ERZ13854538,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,28007,10,1050,5848,21880,21934626,19735,SRR12445057
ERZ13854564,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,20472,5,2969,1109,10396,16976197,52257,SRR12445058
ERZ13854605,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,22766,7,1128,521,1948,2030879,8524,SRR12445059
ERZ13854644,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,26253,7,741,879,2536,1966564,27103,SRR12445060
ERZ13854823,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,95645,20,1082,2447,10571,11001448,57437,SRR12445061
ERZ13854567,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,91588,20,695,4408,11836,8617537,41755,SRR12445062
ERZ13854819,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,9796,6,1216,7400,32438,36596901,97192,SRR12445063
ERZ13854279,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,16893,5,677,1177,3134,2225967,6175,SRR12445064
ERZ13854610,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,27342,8,859,6045,20071,17755133,18577,SRR12445065
ERZ13854645,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,23181,5,867,3409,10772,9351324,13690,SRR12445066
ERZ13854415,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,51563,17,2005,3883,33263,49194563,239288,SRR12445067
ERZ13854541,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,14457,11,1302,9226,43222,50373065,89635,SRR12445068
ERZ13854680,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,12290,5,1108,4755,19563,20622480,21268,SRR12445069
ERZ13854338,root:Host-associated:Human:Digestive system:Oral:Saliva,metaspades,3.15.3,34989,9,985,7852,27206,26145418,46277,SRR12445070
ERZ11772391,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,276372,70,1273,25691,122448,142727830,121522,SRR8786260
ERZ11772393,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,263849,68,1313,34237,165852,198715720,108647,SRR8786261
ERZ11772365,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,333847,73,1048,22340,87689,89258313,52266,SRR8786262
ERZ11772394,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,274428,70,1196,29448,131139,146003568,88219,SRR8786263
ERZ11772390,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,309918,71,1372,18928,101148,123189692,98463,SRR8786264
ERZ11772392,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,258580,68,1388,24178,121078,148011070,70519,SRR8786265
ERZ11772367,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,295387,25,1178,17553,82072,91155511,78810,SRR8786266
ERZ11772371,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,250489,68,1761,17156,102529,143719026,308108,SRR8786267
ERZ11772366,root:Host-associated:Human:Digestive system:Oral,metaspades,3.15.3,259605,81,1027,21300,84415,84963642,54463,SRR8786268
ERZ12792447,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,1195680,165,805,3462,10420,8558648,8759,ERR9578585
ERZ12792450,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,828720,267,825,4118,12679,10610128,10899,ERR9578586
ERZ12792452,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,913970,227,896,7025,23209,20822815,15484,ERR9578587
ERZ12792448,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,1323509,205,862,2853,9324,8141936,13665,ERR9578588
ERZ12792451,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,910833,220,965,4090,14393,13719238,16026,ERR9578589
ERZ12792449,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,1042719,236,885,3899,12523,11040359,12690,ERR9578590
ERZ13635188,root:Environmental:Terrestrial:Soil:Contaminated,metaspades,3.15.3,973399,212,811,4587,13965,11551617,11224,ERR9634755
ERZ13405067,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,441534,100,1460,89022,520471,656506142,384811,ERR7413336
ERZ13405566,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,523395,142,895,203084,828618,794208675,351411,ERR7438299
ERZ13405062,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,350073,83,2025,46315,406876,611422100,520396,ERR7438300
ERZ13405064,root:Host-associated:Mammals:Digestive system,metaspades,3.15.3,263526,83,1935,61190,452020,660277449,803751,ERR7438301
